src_bytes,dst_bytes,duration,count,srv_count,protocol,label
42.0,42.0,0.0,6.0,10.0,1.0,Normal
520.0,0.0,0.0,511.0,511.0,2.0,DoS
517.0,7131.0,0.0,18.0,18.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,202.0,202.0,2.0,DoS
0.0,0.0,0.0,264.0,15.0,0.0,DoS
147.0,105.0,5600.0,2.0,2.0,1.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,257.0,1.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
206.0,11079.0,0.0,3.0,3.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,451.0,451.0,2.0,DoS
0.0,0.0,0.0,1.0,1.0,0.0,Normal
0.0,0.0,0.0,149.0,11.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
295.0,2607.0,0.0,30.0,30.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,208.0,4.0,0.0,DoS
0.0,0.0,0.0,127.0,2.0,0.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,1.0,1.0,0.0,Normal
105.0,0.0,0.0,1.0,1.0,1.0,Normal
0.0,0.0,0.0,150.0,20.0,0.0,DoS
0.0,0.0,0.0,239.0,9.0,0.0,DoS
228.0,1158.0,0.0,16.0,16.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
13239.0,0.0,0.0,5.0,5.0,0.0,Normal
0.0,0.0,0.0,257.0,12.0,0.0,DoS
0.0,0.0,0.0,105.0,5.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,452.0,452.0,2.0,DoS
0.0,0.0,0.0,237.0,20.0,0.0,DoS
243.0,3773.0,0.0,11.0,20.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,299.0,20.0,0.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,124.0,7.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,226.0,9.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,509.0,509.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,132.0,10.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,142.0,9.0,0.0,DoS
32.0,92.0,0.0,3.0,6.0,1.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,259.0,16.0,0.0,DoS
0.0,0.0,0.0,131.0,16.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,133.0,18.0,0.0,DoS
0.0,0.0,0.0,1.0,1.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
147.0,0.0,0.0,1.0,1.0,1.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,65.0,3.0,0.0,DoS
220.0,3313.0,0.0,6.0,6.0,0.0,Normal
0.0,0.0,0.0,141.0,9.0,0.0,DoS
1032.0,0.0,0.0,509.0,509.0,2.0,DoS
0.0,0.0,0.0,107.0,14.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
365.0,787.0,0.0,3.0,3.0,0.0,Normal
0.0,0.0,0.0,147.0,17.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,476.0,476.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,479.0,479.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,80.0,8.0,0.0,DoS
520.0,0.0,0.0,477.0,477.0,2.0,DoS
1032.0,0.0,0.0,510.0,510.0,2.0,DoS
226.0,2031.0,0.0,4.0,4.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,256.0,7.0,0.0,DoS
520.0,0.0,0.0,453.0,453.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
206.0,1721.0,0.0,1.0,1.0,0.0,Normal
0.0,0.0,0.0,114.0,10.0,0.0,DoS
919.0,283.0,11.0,1.0,1.0,0.0,Normal
1032.0,0.0,0.0,510.0,510.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
212.0,1539.0,0.0,10.0,11.0,0.0,Normal
1032.0,0.0,0.0,510.0,510.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,297.0,19.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
641.0,0.0,0.0,2.0,2.0,0.0,Normal
280.0,1489.0,0.0,3.0,4.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,292.0,2.0,0.0,DoS
146.0,105.0,4620.0,1.0,1.0,1.0,Normal
1032.0,0.0,0.0,510.0,510.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,496.0,496.0,2.0,DoS
0.0,0.0,0.0,1.0,3.0,0.0,Normal
324.0,13335.0,0.0,1.0,1.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,510.0,510.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
205.0,314.0,0.0,1.0,1.0,0.0,Normal
0.0,0.0,0.0,144.0,15.0,0.0,DoS
199.0,5858.0,0.0,7.0,7.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,245.0,20.0,0.0,DoS
1032.0,0.0,0.0,510.0,510.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
105.0,147.0,10.0,2.0,2.0,1.0,Normal
295.0,1840.0,0.0,16.0,16.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,125.0,10.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,446.0,446.0,2.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
105.0,0.0,0.0,2.0,2.0,1.0,Normal
520.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,510.0,510.0,2.0,DoS
0.0,0.0,0.0,253.0,5.0,0.0,DoS
0.0,0.0,0.0,278.0,20.0,0.0,DoS
0.0,0.0,0.0,188.0,9.0,0.0,DoS
0.0,0.0,0.0,99.0,9.0,0.0,DoS
233.0,2239.0,0.0,7.0,7.0,0.0,Normal
520.0,0.0,0.0,511.0,511.0,2.0,DoS
1282.0,329.0,0.0,1.0,1.0,0.0,Normal
0.0,0.0,0.0,269.0,15.0,0.0,DoS
0.0,0.0,0.0,271.0,8.0,0.0,DoS
1032.0,0.0,0.0,508.0,509.0,2.0,DoS
228.0,1019.0,0.0,5.0,5.0,0.0,Normal
0.0,0.0,0.0,141.0,12.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,204.0,1.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,101.0,8.0,0.0,DoS
105.0,146.0,16.0,2.0,2.0,1.0,Normal
0.0,0.0,0.0,276.0,17.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
262.0,667.0,0.0,26.0,26.0,0.0,Normal
0.0,0.0,0.0,102.0,2.0,0.0,DoS
520.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,510.0,510.0,2.0,DoS
0.0,0.0,0.0,107.0,7.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,510.0,510.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
0.0,0.0,0.0,218.0,9.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
208.0,907.0,0.0,14.0,14.0,0.0,Normal
0.0,0.0,0.0,266.0,24.0,0.0,DoS
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
520.0,0.0,0.0,441.0,441.0,2.0,DoS
0.0,0.0,0.0,148.0,18.0,0.0,DoS
218.0,454.0,0.0,16.0,16.0,0.0,Normal
208.0,2113.0,0.0,2.0,2.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
337.0,5199.0,0.0,11.0,11.0,0.0,Normal
0.0,0.0,0.0,252.0,1.0,0.0,DoS
283.0,327.0,0.0,3.0,21.0,0.0,Normal
253.0,32795.0,0.0,2.0,2.0,0.0,Normal
0.0,0.0,0.0,191.0,2.0,0.0,DoS
0.0,0.0,0.0,112.0,15.0,0.0,DoS
303.0,13819.0,0.0,2.0,3.0,0.0,Normal
1032.0,0.0,0.0,511.0,511.0,2.0,DoS
226.0,392.0,0.0,8.0,12.0,0.0,Normal
0.0,0.0,0.0,266.0,15.0,0.0,DoS
